"OverallQual","Neighborhood","GarageCars","LandSlope","GrLivArea","WoodDeckSF","MSZoning","SaleType","BsmtUnfSF","YearRemodAdd","HouseStyle","BsmtQual","SalesPrice"
6,"Mitchel",2.0,"Gtl",1337,0,"RM","WD",36.0,1998,"1Story","Ex",153499.9999999999
8,"Somerst",3.0,"Gtl",1563,144,"RL","WD",1530.0,2007,"1Story","Gd",244999.99999999983
5,"NAmes",2.0,"Gtl",1065,74,"RL","COD",1065.0,1960,"1Story","TA",126499.99999999997
7,"Gilbert",2.0,"Gtl",1474,120,"RL","WD",384.0,1996,"SLvl","Gd",168499.9999999999
8,"NoRidge",2.0,"Gtl",2417,127,"RL","WD",1288.0,1992,"2Story","Gd",260000.00000000015
6,"Gilbert",2.0,"Gtl",1560,100,"RL","WD",684.0,2005,"2Story","Gd",173999.99999999997
6,"Somerst",2.0,"Gtl",1224,0,"FV","New",612.0,2009,"2Story","Gd",164500.0000000001
3,"IDOTRR",0.0,"Gtl",1526,0,"C (all)","ConLD",1013.0,1982,"1.5Fin","TA",85000.0
4,"CollgCr",0.0,"Gtl",990,0,"RL","WD",402.0,1995,"1Story","Gd",123600.00000000001
4,"NAmes",2.0,"Gtl",1040,0,"RL","WD",0.0,1950,"1Story","_NA",109900.00000000003
5,"NAmes",2.0,"Gtl",1235,0,"RL","WD",635.0,1961,"1Story","TA",98600.00000000003
5,"Crawfor",2.0,"Gtl",964,0,"RL","WD",163.0,2006,"1Story","Gd",163500.00000000012
6,"OldTown",2.0,"Gtl",2291,0,"C (all)","WD",168.0,1998,"2.5Unf","TA",133900.0
6,"CollgCr",2.0,"Gtl",1786,0,"RL","WD",176.0,1997,"2Story","Gd",204750.0
6,"Gilbert",2.0,"Gtl",1470,232,"RL","WD",370.0,1993,"2Story","Gd",185000.00000000006
7,"CollgCr",2.0,"Gtl",1588,158,"RL","WD",426.0,1999,"1Story","Gd",214000.00000000006
4,"Edwards",1.0,"Gtl",960,120,"RL","WD",440.0,1965,"1Story","TA",94750.00000000004
5,"Edwards",1.0,"Gtl",835,0,"RL","COD",350.0,1950,"1Story","TA",83000.0
4,"NAmes",0.0,"Gtl",1225,352,"RL","WD",381.0,1959,"1Story","TA",128949.99999999988
6,"NWAmes",2.0,"Gtl",1610,168,"RL","WD",410.0,2001,"1Story","TA",205000.0
6,"SawyerW",2.0,"Gtl",1732,192,"RL","WD",741.0,1985,"2Story","Gd",177999.99999999994
5,"SawyerW",2.0,"Gtl",1535,0,"RL","WD",0.0,1979,"1Story","_NA",118963.99999999999
7,"CollgCr",3.0,"Gtl",1226,0,"RL","WD",1226.0,2009,"1Story","Gd",198899.99999999997
7,"IDOTRR",1.0,"Gtl",1818,0,"RM","WD",816.0,1950,"1.5Fin","TA",169499.99999999988
8,"Somerst",2.0,"Gtl",1992,140,"FV","WD",1053.0,2004,"2Story","Ex",249999.99999999983
4,"OldTown",1.0,"Gtl",1047,0,"RM","WD",641.0,1995,"1Story","Fa",100000.00000000001
5,"OldTown",1.0,"Gtl",789,0,"RM","WD",516.0,1950,"1Story","TA",115000.00000000009
5,"IDOTRR",0.0,"Gtl",1517,0,"RM","WD",793.0,2005,"1.5Fin","TA",115000.00000000009
6,"NWAmes",2.0,"Gtl",1844,0,"RL","COD",1139.0,1977,"1Story","Gd",190000.00000000012
6,"Edwards",1.0,"Gtl",1855,182,"RL","WD",550.0,1972,"1.5Fin","TA",136899.9999999999
7,"Gilbert",2.0,"Gtl",1430,180,"RL","WD",134.0,2000,"SLvl","Gd",179999.99999999997
7,"CollgCr",3.0,"Gtl",2696,120,"RL","New",280.0,2007,"2Story","Ex",383970.00000000023
6,"Crawfor",2.0,"Gtl",2259,166,"RL","COD",905.0,1953,"1Story","Gd",217000.00000000017
6,"Crawfor",1.0,"Mod",2320,224,"RL","WD",104.0,2002,"2Story","TA",259500.0000000001
6,"Somerst",2.0,"Gtl",1458,0,"FV","WD",310.0,1999,"2Story","Gd",176000.00000000006
5,"Sawyer",1.0,"Gtl",1092,0,"RL","WD",252.0,1962,"1Story","TA",138999.99999999994
5,"Edwards",2.0,"Gtl",1125,80,"RL","New",1125.0,2007,"1Story","Gd",155000.0
7,"SawyerW",3.0,"Gtl",3222,367,"RL","WD",203.0,1990,"2Story","Gd",319999.9999999998
6,"CollgCr",2.0,"Gtl",1456,0,"RL","New",728.0,2006,"2Story","Gd",163990.00000000003
6,"ClearCr",2.0,"Sev",988,0,"RL","WD",0.0,1969,"SLvl","TA",179999.99999999997
4,"IDOTRR",1.0,"Gtl",1123,0,"RM","WD",732.0,1950,"1.5Fin","TA",100000.00000000001
6,"NAmes",1.0,"Gtl",1080,0,"RL","WD",510.0,1958,"1Story","TA",135999.99999999988
6,"SawyerW",2.0,"Gtl",1199,0,"RL","WD",899.0,1993,"1Story","Gd",153899.99999999994
6,"NWAmes",2.0,"Gtl",1586,192,"RL","WD",1362.0,1998,"1Story","Gd",180999.99999999985
6,"IDOTRR",0.0,"Gtl",754,53,"RM","WD",30.0,1982,"1.5Fin","TA",84500.00000000004
6,"NPkVill",2.0,"Gtl",958,0,"RL","WD",958.0,1976,"1Story","Gd",128000.00000000004
5,"OldTown",0.0,"Gtl",840,0,"RM","WD",556.0,1950,"1.5Unf","TA",86999.99999999997
6,"NAmes",2.0,"Gtl",1348,188,"RL","WD",148.0,1966,"2Story","TA",155000.0
5,"NAmes",2.0,"Gtl",1053,0,"RL","WD",413.0,1991,"1Story","TA",149999.99999999994
7,"NAmes",2.0,"Gtl",2157,105,"RL","WD",479.0,1966,"2Story","TA",226000.00000000003
6,"Gilbert",2.0,"Gtl",2054,24,"RL","WD",297.0,2000,"2Story","Gd",243999.9999999998
5,"NAmes",2.0,"Gtl",1327,0,"RL","WD",658.0,2002,"1Story","TA",150750.00000000012
8,"Timber",2.0,"Gtl",1296,192,"RL","WD",262.0,2002,"1Story","Ex",219999.99999999985
5,"Sawyer",2.0,"Gtl",1721,0,"RL","WD",891.0,1993,"1Story","TA",179999.99999999997
7,"NWAmes",2.0,"Gtl",1682,98,"RL","WD",1304.0,1970,"1Story","TA",173999.99999999997
5,"NAmes",1.0,"Gtl",1214,0,"RL","WD",519.0,1967,"1Story","TA",142999.9999999999
7,"Mitchel",3.0,"Gtl",1959,0,"RL","WD",1907.0,1989,"1Story","TA",171000.00000000003
8,"CollgCr",3.0,"Gtl",1852,224,"RL","WD",336.0,2000,"2Story","Gd",230000.0000000002
6,"CollgCr",2.0,"Gtl",1764,276,"RL","WD",107.0,1997,"2Story","Gd",231499.99999999994
4,"NAmes",0.0,"Gtl",864,0,"RL","ConLI",432.0,1971,"1Story","TA",115000.00000000009
7,"CollgCr",2.0,"Gtl",1734,160,"RL","WD",434.0,2005,"1Story","Gd",260000.00000000015
5,"NAmes",2.0,"Gtl",1385,0,"RL","WD",403.0,1952,"1.5Fin","TA",166000.00000000003
7,"CollgCr",2.0,"Gtl",1501,144,"RL","WD",811.0,1999,"1Story","Gd",204000.00000000006
5,"Sawyer",2.0,"Gtl",1728,0,"RM","ConLI",396.0,1963,"1Story","TA",124999.99999999991
6,"Edwards",2.0,"Gtl",1709,0,"RM","WD",970.0,2006,"2Story","Gd",130000.00000000006
5,"BrkSide",1.0,"Gtl",875,48,"RM","WD",506.0,1993,"1Story","TA",105000.00000000003
7,"Gilbert",2.0,"Gtl",2035,144,"RL","WD",884.0,2001,"2Story","Gd",222500.00000000012
7,"SawyerW",0.0,"Gtl",1080,0,"RL","WD",400.0,2005,"1Story","Gd",141000.0
5,"BrkSide",1.0,"Gtl",1344,200,"RM","WD",896.0,1950,"1.5Fin","Gd",115000.00000000009
5,"CollgCr",2.0,"Gtl",969,0,"RL","WD",253.0,1975,"1Story","TA",122000.0000000001
8,"NridgHt",3.0,"Gtl",1710,0,"RL","New",310.0,2008,"1Story","Ex",372401.9999999998
6,"NWAmes",2.0,"Gtl",1993,0,"RL","WD",409.0,1971,"2Story","TA",190000.00000000012
6,"ClearCr",2.0,"Gtl",1252,409,"RL","WD",93.0,1975,"1Story","Gd",234999.99999999994
6,"OldTown",1.0,"Gtl",1200,0,"RM","WD",1200.0,1950,"1Story","TA",124999.99999999991
6,"Edwards",0.0,"Gtl",1096,0,"RL","WD",572.0,1950,"1.5Fin","TA",79000.00000000006
5,"NAmes",2.0,"Gtl",1040,0,"RL","WD",0.0,1950,"1Story","_NA",109500.00000000007
8,"Timber",3.0,"Gtl",1968,0,"RL","New",774.0,2010,"2Story","Ex",269500.0
7,"Somerst",2.0,"Gtl",1947,0,"FV","WD",769.0,2005,"2Story","Gd",254899.99999999988
7,"Gilbert",2.0,"Gtl",2462,239,"RL","New",1335.0,2006,"2Story","Gd",319999.9999999998
6,"Veenker",2.0,"Gtl",1232,0,"RL","WD",572.0,1984,"1Story","Gd",162499.9999999999
9,"NridgHt",3.0,"Gtl",2668,400,"RL","WD",556.0,2004,"2Story","Ex",412499.99999999977
7,"NridgHt",2.0,"Gtl",1541,0,"RL","New",340.0,2005,"1Story","Gd",219999.99999999985
4,"OldTown",0.0,"Gtl",882,0,"RL","WD",882.0,1956,"1.5Unf","TA",103199.99999999997
6,"OldTown",1.0,"Gtl",1616,0,"RM","WD",779.0,2004,"1Story","TA",151999.99999999997
5,"Edwards",0.0,"Gtl",1355,140,"RL","WD",112.0,1999,"1.5Fin","TA",127499.99999999991
5,"ClearCr",1.0,"Gtl",1867,476,"RL","COD",470.0,1993,"1Story","TA",190000.00000000012
8,"NridgHt",3.0,"Gtl",2161,178,"RL","New",294.0,2007,"2Story","Ex",325624.0
7,"Gilbert",2.0,"Gtl",1720,100,"RL","WD",840.0,2004,"2Story","Gd",183499.99999999985
8,"Timber",2.0,"Gtl",1707,574,"RL","WD",1686.0,1981,"1Story","Gd",227999.99999999983
5,"OldTown",2.0,"Gtl",1382,237,"RM","WD",360.0,1950,"1.5Fin","TA",128500.00000000012
6,"NAmes",2.0,"Gtl",1656,210,"RL","WD",441.0,1960,"1Story","TA",215000.00000000006
7,"StoneBr",2.0,"Gtl",1767,441,"RL","WD",354.0,1987,"2Story","Gd",239000.00000000003
6,"NAmes",2.0,"Gtl",1362,0,"RL","COD",700.0,1961,"1Story","TA",163000.00000000012
6,"Timber",2.0,"Gtl",1651,192,"RL","WD",0.0,1986,"1Story","Gd",184000.0
6,"Edwards",2.0,"Gtl",2158,0,"RL","WD",725.0,2001,"1Story","TA",243000.00000000012
6,"ClearCr",2.0,"Gtl",2060,0,"RL","WD",320.0,1989,"2Story","Gd",211000.00000000017
5,"Sawyer",2.0,"Gtl",1920,0,"RL","WD",554.0,1958,"1.5Fin","TA",172500.0
9,"StoneBr",3.0,"Gtl",2234,0,"RL","New",312.0,2009,"1Story","Ex",501837.0000000002
5,"OldTown",2.0,"Gtl",968,0,"RM","WD",968.0,2006,"1Story","TA",100000.00000000001
6,"Somerst",2.0,"Gtl",1525,0,"FV","WD",320.0,2000,"2Story","Gd",177000.00000000006
7,"Crawfor",1.0,"Gtl",1802,0,"RL","WD",441.0,1950,"2Story","Fa",200100.0000000001
5,"Edwards",1.0,"Gtl",1340,116,"RL","WD",0.0,2006,"1Story","_NA",120000.00000000006
7,"OldTown",2.0,"Gtl",2082,280,"RM","WD",1362.0,2003,"1.5Fin","Gd",200000.00000000006
5,"BrkSide",2.0,"Gtl",1252,104,"RL","WD",504.0,1991,"1.5Fin","Fa",126999.99999999996
10,"OldTown",3.0,"Gtl",3608,0,"RM","WD",1107.0,1993,"2.5Fin","TA",474999.9999999999
7,"Mitchel",2.0,"Gtl",1217,168,"RL","WD",577.0,1991,"SLvl","Gd",172999.99999999988
5,"OldTown",1.0,"Gtl",1656,0,"RL","WD",660.0,1987,"1.5Fin","Fa",135000.00000000012
5,"SawyerW",2.0,"Gtl",1224,120,"RL","WD",0.0,1979,"SFoyer","Gd",153336.99999999997
8,"StoneBr",2.0,"Gtl",1593,0,"RL","WD",440.0,2002,"1Story","Ex",285999.9999999999
8,"Crawfor",2.0,"Mod",2727,0,"RL","WD",556.0,1994,"2Story","Gd",314999.99999999994
7,"NAmes",2.0,"Gtl",1479,0,"RL","WD",99.0,2004,"2Story","TA",184000.0
7,"CollgCr",2.0,"Gtl",1431,0,"RL","WD",871.0,1999,"1Story","Gd",191999.99999999994
7,"Edwards",2.0,"Gtl",1709,0,"RM","WD",970.0,2004,"2Story","Gd",130000.00000000006
5,"CollgCr",1.0,"Gtl",864,0,"RL","WD",474.0,1972,"1Story","TA",126999.99999999996
6,"NPkVill",2.0,"Gtl",1456,87,"RL","WD",289.0,1976,"2Story","Gd",148499.99999999997
7,"Somerst",3.0,"Gtl",1726,171,"RL","New",600.0,2007,"1Story","Ex",311872.00000000023
8,"NAmes",2.0,"Gtl",3112,0,"RL","WD",140.0,1990,"2Story","TA",234999.99999999994
6,"OldTown",0.0,"Gtl",2229,0,"RM","WD",755.0,1950,"2.5Fin","TA",103999.99999999996
8,"NridgHt",3.0,"Gtl",1713,0,"RL","WD",625.0,2005,"1Story","Ex",274899.99999999977
4,"Edwards",2.0,"Gtl",1121,132,"RM","WD",1121.0,2004,"1Story","Gd",139999.9999999999
6,"Mitchel",2.0,"Gtl",1279,238,"RL","WD",276.0,1977,"1Story","TA",171500.00000000003
6,"OldTown",1.0,"Gtl",1310,0,"RL","COD",0.0,1950,"1.5Fin","Fa",112000.00000000003
6,"CollgCr",2.0,"Gtl",848,149,"RM","WD",186.0,2004,"1Story","Gd",149000.00000000012
5,"OldTown",1.0,"Gtl",1284,0,"RM","WD",408.0,1950,"1.5Fin","TA",109999.99999999991
7,"Gilbert",2.0,"Gtl",1442,0,"RL","WD",1424.0,1990,"1Story","Gd",180499.99999999988
5,"Sawyer",1.0,"Gtl",1696,0,"RL","WD",1140.0,1962,"1Story","TA",143899.99999999994
4,"NAmes",1.0,"Gtl",1100,355,"RL","WD",375.0,1960,"1Story","TA",141000.0
7,"SawyerW",2.0,"Mod",2062,60,"RL","WD",92.0,1989,"2Story","Gd",277000.0000000002
6,"NAmes",2.0,"Gtl",1092,0,"RL","WD",305.0,1964,"1Story","Gd",144999.99999999994
5,"Edwards",0.0,"Gtl",864,0,"RL","WD",396.0,1950,"1Story","TA",98000.00000000001
6,"Edwards",2.0,"Gtl",1212,100,"RL","WD",1176.0,2009,"1Story","Gd",186000.00000000003
7,"Somerst",2.0,"Gtl",1852,168,"FV","New",78.0,2009,"2Story","Gd",252677.99999999983
5,"CollgCr",2.0,"Gtl",990,224,"RL","WD",274.0,1995,"1Story","Gd",156000.00000000012
6,"CollgCr",1.0,"Gtl",1392,0,"RL","WD",311.0,1977,"2Story","Gd",161750.00000000015
5,"NAmes",1.0,"Gtl",1236,0,"RL","WD",710.0,1996,"1Story","TA",134449.99999999988
7,"CollgCr",2.0,"Gtl",1436,139,"RL","WD",490.0,2004,"1Story","Gd",210000.0000000001
4,"OldTown",1.0,"Gtl",1328,0,"RM","WD",686.0,1950,"2Story","TA",107000.00000000003
7,"Crawfor",2.0,"Gtl",1954,0,"RL","WD",457.0,2006,"1.5Fin","TA",311499.9999999999
7,"Blmngtn",2.0,"Gtl",1248,108,"RL","New",1232.0,2006,"1Story","Gd",167239.99999999988
7,"CollgCr",2.0,"Gtl",1498,351,"RL","New",1498.0,2006,"1Story","Gd",204900.00000000017
6,"Gilbert",2.0,"Gtl",2267,120,"RL","ConLI",1010.0,2002,"2Story","Gd",200000.00000000006
6,"NWAmes",2.0,"Gtl",1552,209,"RL","WD",163.0,1975,"2Story","Gd",179900.0
4,"NAmes",2.0,"Gtl",864,216,"RL","WD",160.0,1971,"1Story","TA",96999.99999999997
10,"NridgHt",3.0,"Gtl",2392,248,"RL","WD",2336.0,2003,"1Story","Ex",386250.00000000006
5,"BrDale",1.0,"Gtl",1302,0,"RM","COD",630.0,1971,"2Story","TA",112000.00000000003
7,"NoRidge",3.0,"Gtl",2520,224,"RL","WD",638.0,1995,"2Story","Gd",289999.9999999999
6,"BrDale",1.0,"Gtl",987,0,"RM","WD",162.0,1970,"2Story","TA",106000.00000000004
5,"Sawyer",1.0,"Gtl",912,0,"RL","WD",70.0,1967,"1Story","TA",124999.99999999991
7,"Blmngtn",2.0,"Gtl",1555,143,"RL","WD",1357.0,2006,"1Story","Gd",192499.99999999983
6,"NAmes",1.0,"Gtl",1194,0,"RL","WD",1194.0,1959,"1Story","TA",147999.9999999999
8,"NoRidge",3.0,"Gtl",2794,0,"RL","WD",773.0,1996,"2Story","Gd",403000.0000000001
6,"BrDale",1.0,"Gtl",987,0,"RM","WD",483.0,1972,"2Story","TA",94499.99999999999
5,"CollgCr",1.0,"Gtl",894,365,"RL","WD",0.0,1976,"1Story","TA",128199.99999999993
6,"Gilbert",2.0,"Gtl",1960,288,"RL","WD",235.0,2002,"2Story","Gd",216499.99999999988
6,"BrDale",1.0,"Gtl",987,0,"RM","WD",125.0,1971,"2Story","TA",89499.99999999997
7,"CollgCr",2.0,"Gtl",1414,132,"RL","WD",1390.0,2004,"1Story","Gd",185500.00000000006
7,"SawyerW",2.0,"Gtl",1744,370,"RL","WD",594.0,2003,"2Story","Gd",194500.00000000003
8,"NridgHt",3.0,"Gtl",1694,168,"RL","New",1694.0,2007,"1Story","Ex",317999.99999999994
6,"Edwards",1.0,"Gtl",1487,0,"RL","WD",641.0,1950,"1.5Fin","TA",113000.0
8,"Somerst",2.0,"Gtl",1566,144,"FV","WD",488.0,2008,"1Story","Gd",262499.9999999999
5,"OldTown",0.0,"Gtl",866,58,"RM","WD",357.0,1997,"1Story","TA",110500.00000000003
5,"OldTown",1.0,"Gtl",1440,0,"RM","WD",540.0,1950,"1.5Fin","TA",79000.00000000006
6,"SawyerW",1.0,"Gtl",1217,0,"RL","WD",626.0,1980,"2Story","Gd",120000.00000000006
7,"SawyerW",2.0,"Gtl",2110,0,"RL","WD",253.0,2002,"2Story","Gd",205000.0
7,"NWAmes",2.0,"Gtl",1872,197,"RL","WD",916.0,1988,"1Story","Gd",241499.99999999983
6,"OldTown",1.0,"Gtl",1928,0,"RM","WD",1020.0,1950,"2Story","Fa",137000.00000000012
6,"NAmes",2.0,"Gtl",1375,0,"RL","WD",1367.0,1954,"1Story","TA",139999.9999999999
7,"CollgCr",2.0,"Gtl",1668,144,"RL","WD",840.0,2003,"2Story","Gd",179999.99999999997
6,"ClearCr",2.0,"Sev",2144,0,"RL","WD",747.0,2006,"1.5Fin","Gd",277000.0000000002
3,"BrkSide",0.0,"Gtl",1306,263,"RL","WD",728.0,1966,"1Story","TA",76499.99999999996
8,"Crawfor",2.0,"Mod",1625,123,"RM","WD",0.0,2007,"1Story","Gd",234999.99999999994
6,"SawyerW",2.0,"Gtl",1640,138,"RL","WD",798.0,2004,"2Story","Gd",172999.99999999988
6,"NAmes",1.0,"Gtl",1302,333,"RL","CWD",452.0,1991,"SLvl","Gd",158000.00000000012
